,Year,Month,Day,Hour,SunlightMin,HourlySkyWeather,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed
0,2017,9,16,0,747,CLR,7.0,0,0.0
1,2017,9,16,1,747,CLR,6.0,0,0.0
2,2017,9,16,2,747,CLR,4.0,40,3.0
3,2017,9,16,3,747,CLR,3.0,50,3.0
4,2017,9,16,3,747,CLR,2.5,0,0.0
5,2017,9,16,4,747,CLR,3.0,0,0.0
6,2017,9,16,4,747,SCT,2.5,40,3.0
7,2017,9,16,4,747,FEW,2.5,40,3.0
8,2017,9,16,5,747,SCT,2.5,0,0.0
9,2017,9,16,5,747,BKN,2.0,0,0.0
10,2017,9,16,6,747,BKN,1.25,60,3.0
11,2017,9,16,6,747,OVC,1.75,70,7.0
12,2017,9,16,7,747,OVC,2.0,60,5.0
13,2017,9,16,7,747,OVC,3.0,60,6.0
14,2017,9,16,7,747,OVC,3.0,False,5.0
15,2017,9,16,8,747,OVC,4.0,False,5.0
16,2017,9,16,8,747,OVC,4.0,60,3.0
17,2017,9,16,9,747,BKN,5.0,False,7.0
18,2017,9,16,10,747,SCT,5.0,False,3.0
19,2017,9,16,10,747,BKN,4.0,False,5.0
20,2017,9,16,10,747,BKN,5.0,False,7.0
21,2017,9,16,10,747,SCT,5.0,60,7.0
22,2017,9,16,11,747,BKN,5.0,60,8.0
23,2017,9,16,11,747,BKN,5.0,70,5.0
24,2017,9,16,12,747,SCT,6.0,False,6.0
25,2017,9,16,12,747,CLR,6.0,80,7.0
26,2017,9,16,13,747,CLR,7.0,False,3.0
27,2017,9,16,14,747,CLR,8.0,50,3.0
28,2017,9,16,15,747,FEW,9.0,False,3.0
29,2017,9,16,16,747,FEW,10.0,0,0.0
30,2017,9,16,17,747,CLR,10.0,0,0.0
31,2017,9,16,18,747,CLR,10.0,0,0.0
32,2017,9,16,19,744,CLR,9.0,160,3.0
33,2017,9,16,20,744,CLR,8.0,0,0.0
34,2017,9,16,21,744,CLR,6.0,50,3.0
35,2017,9,16,22,744,BKN,6.0,290,3.0
36,2017,9,16,22,744,OVC,6.0,290,3.0
37,2017,9,16,23,744,SCT,5.0,0,0.0
38,2017,9,16,23,744,FEW,5.0,0,0.0
39,2017,9,16,23,744,NaN,NaN,False,NaN
40,2017,9,17,0,744,CLR,4.0,0,0.0
41,2017,9,17,1,744,CLR,2.5,0,0.0
42,2017,9,17,1,744,CLR,2.5,0,0.0
43,2017,9,17,2,744,FEW,3.0,0,0.0
44,2017,9,17,2,744,SCT,2.5,0,0.0
45,2017,9,17,2,744,BKN,2.5,0,0.0
46,2017,9,17,2,744,BKN,2.5,0,0.0
47,2017,9,17,3,744,OVC,3.0,0,0.0
48,2017,9,17,3,744,OVC,2.5,0,0.0
49,2017,9,17,3,744,OVC,2.5,0,0.0
50,2017,9,17,3,744,OVC,3.0,0,0.0
51,2017,9,17,4,744,OVC,3.0,0,0.0
52,2017,9,17,4,744,OVC,3.0,0,0.0
53,2017,9,17,4,744,OVC,3.0,0,0.0
54,2017,9,17,5,744,BKN,3.0,0,0.0
55,2017,9,17,5,744,BKN,2.5,0,0.0
56,2017,9,17,5,744,OVC,2.0,0,0.0
57,2017,9,17,5,744,OVC,2.0,0,0.0
58,2017,9,17,6,744,OVC,2.0,0,0.0
59,2017,9,17,6,744,OVC,2.0,50,3.0
60,2017,9,17,6,744,OVC,2.5,0,0.0
61,2017,9,17,7,744,OVC,2.5,0,0.0
62,2017,9,17,8,744,BKN,3.0,False,3.0
63,2017,9,17,8,744,OVC,3.0,80,5.0
64,2017,9,17,9,744,BKN,4.0,70,5.0
65,2017,9,17,9,744,BKN,4.0,90,5.0
66,2017,9,17,10,744,FEW,5.0,60,5.0
67,2017,9,17,10,744,FEW,5.0,70,5.0
68,2017,9,17,11,744,BKN,5.0,60,3.0
69,2017,9,17,11,744,SCT,5.0,80,5.0
70,2017,9,17,11,744,BKN,5.0,60,7.0
71,2017,9,17,12,744,BKN,6.0,30,3.0
72,2017,9,17,12,744,BKN,6.0,False,3.0
73,2017,9,17,12,744,BKN,6.0,70,6.0
74,2017,9,17,13,744,SCT,7.0,360,5.0
75,2017,9,17,13,744,FEW,7.0,False,5.0
76,2017,9,17,14,744,CLR,10.0,60,7.0
77,2017,9,17,15,744,CLR,9.0,180,5.0
78,2017,9,17,16,744,CLR,9.0,False,3.0
79,2017,9,17,17,744,CLR,9.0,180,6.0
80,2017,9,17,18,744,CLR,9.0,False,5.0
81,2017,9,17,19,741,CLR,8.0,0,0.0
82,2017,9,17,20,741,FEW,8.0,False,3.0
83,2017,9,17,21,741,BKN,7.0,0,0.0
84,2017,9,17,21,741,BKN,6.0,0,0.0
85,2017,9,17,21,741,OVC,6.0,0,0.0
86,2017,9,17,22,741,OVC,6.0,0,0.0
87,2017,9,17,23,741,OVC,7.0,0,0.0
88,2017,9,17,23,741,BKN,7.0,60,3.0
89,2017,9,17,23,741,NaN,NaN,False,NaN
90,2017,9,18,0,741,SCT,6.0,0,0.0
91,2017,9,18,0,741,SCT,6.0,100,3.0
92,2017,9,18,1,741,BKN,6.0,80,6.0
93,2017,9,18,1,741,OVC,8.0,False,3.0
94,2017,9,18,1,741,OVC,8.0,60,8.0
95,2017,9,18,2,741,BKN,10.0,False,5.0
96,2017,9,18,3,741,OVC,10.0,70,6.0
97,2017,9,18,3,741,OVC,10.0,70,9.0
98,2017,9,18,3,741,OVC,10.0,60,8.0
99,2017,9,18,4,741,OVC,10.0,False,6.0
